acpi 1.8-2
acpi_call 1.2.2-320
acpica 20250404-1
acpid 2.0.34-2
amd-ucode 20251125-1
arandr 0.1.11-5
archinstall 3.0.13-1
archiso 87-1
audacity 1:3.7.5-1
autorandr 1.15-1
base 3-2
base-devel 1-2
bash-completion 2.17.0-1
blueman 2.4.6-1
bluez-utils 5.85-1
brightnessctl 0.5.1-3
btrfs-progs 6.17.1-1
cheese 44.1-5
cmake 4.2.0-1
cyme 2.2.8-1
digikam 8.8.0-2
dkms 3.3.0-1
dmenu 5.4-1
dmidecode 3.6-1
efibootmgr 18-3
evince 1:48.1-1
fastfetch 2.55.1-1
fcitx5 5.1.16-1
fcitx5-configtool 5.1.11-1
fcitx5-gtk 5.1.4-2
fcitx5-m17n 5.1.5-1
fcitx5-qt 5.1.11-2
feh 3.11.2-2
ffmpegthumbnailer 2.2.3-4
filezilla 3.69.5-1
firefox 145.0.2-1
flameshot 13.3.0-1
flatpak 1:1.16.1-1
font-manager 0.9.4-2
fontforge 20251009-1
fwupd 2.0.17-1
fzf 0.67.0-1
gdb 16.3-1
gimp 3.0.6-2
git 2.52.0-2
github-cli 2.83.1-1
gparted 1.7.0-1
grub 2:2.14rc1-2
htop 3.4.1-1
i3-wm 4.24-1
i3blocks 1.5-4
i3lock 2.15-3
i3status 2.15-1
i3status-rust 0.34.0-2
iwd 3.10-1
jdk-openjdk 25.0.1.u8-1
kitty 0.44.0-1
libmpeg2 0.5.1-11
libreoffice-fresh 25.8.3-2
libtar 1.2.20-7
libva-nvidia-driver 0.0.14-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
linux 6.17.9.arch1-1
linux-firmware 20251125-1
linux-headers 6.17.9.arch1-1
lsof 4.99.5-2
man-db 2.13.1-1
man-pages 6.16-1
mesa-utils 9.0.0-7
nano 8.7-1
neovim 0.11.5-1
net-tools 2.10-3
network-manager-applet 1.36.0-1
networkmanager 1.54.2-1
nmap 7.98-3
noto-fonts 1:2025.11.01-1
noto-fonts-emoji 1:2.051-1
npm 11.6.4-1
nvidia-dkms 580.105.08-4
nvidia-settings 580.105.08-1
nvidia-utils 580.105.08-4
obs-studio 32.0.2-2
okular 25.08.3-1
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
